Check,N_Wire,D_W,Measured,Force,Initial,Force_Max
y,2,12.7,0.016152,0,0.016152,22
y,2,12.7,0.015631,2,0.016152,22
y,2,12.7,0.015296,4,0.016152,22
y,2,12.7,0.014645,6,0.016152,22
y,2,12.7,0.014101,8,0.016152,22
y,2,12.7,0.013796,10,0.016152,22
y,2,12.7,0.0131621,12,0.016152,22
y,2,12.7,0.01280155,14,0.016152,22
y,2,12.7,0.01231915,16,0.016152,22
y,2,12.7,0.011947415,18,0.016152,22
y,2,12.7,0.011620172,20,0.016152,22
y,2,12.7,0.01097154,22,0.016152,22
n,2,12.7,0.0118302,20,0.016152,22
n,2,12.7,0.012201,18,0.016152,22
n,2,12.7,0.012552,16,0.016152,22
n,2,12.7,0.0131024,14,0.016152,22
n,2,12.7,0.0136521,12,0.016152,22
n,2,12.7,0.0140182,10,0.016152,22
n,2,12.7,0.0144014,8,0.016152,22
n,2,12.7,0.0149285,6,0.016152,22
n,2,12.7,0.0155052,4,0.016152,22
n,2,12.7,0.015902,2,0.016152,22
n,2,12.7,0.016312,0,0.016152,22
